11:14:03.501 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 8052
11:14:04.608 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@2e4b5da1
11:14:04.608 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:04.608 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:04.608 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 5761
11:14:05.750 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@7e94de5f
11:14:05.750 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:05.750 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:05.750 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 8973
11:14:06.975 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@217b0952
11:14:06.975 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:06.983 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:06.983 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 4924
11:14:08.500 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@c1f0c7b
11:14:08.500 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:08.500 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:08.500 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 1125
11:14:09.916 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@6cb662e8
11:14:09.916 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:09.919 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:09.919 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 2933
11:14:11.157 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@28db2afb
11:14:11.157 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:11.166 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:11.166 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 9745
11:14:12.301 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@554d040d
11:14:12.301 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:12.301 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:12.301 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 3860
11:14:13.566 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@42b500aa
11:14:13.566 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:13.566 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:13.572 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 4425
11:14:14.950 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@3ee68377
11:14:14.950 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:14.950 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:14.950 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 2957
11:14:16.350 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@146db8a6
11:14:16.350 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:16.350 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:16.350 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 1234
11:14:17.716 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@186d6033
11:14:17.716 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:17.716 [main] INFO  apiTest.DDTest - *********************************************************************************************************************************************************
11:14:17.716 [main] INFO  apiTest.DDTest - Posting Order Details to the Store with Pet ID: 5678
11:14:19.259 [main] INFO  apiTest.DDTest - Response captured is: io.restassured.internal.RestAssuredResponseImpl@54f9326c
11:14:19.259 [main] INFO  apiTest.DDTest - Successfully posted order details to the pet store with response Status_Code: 200
11:14:20.681 [main] INFO  apiTest.DDTest - Successfully retrieved Store Details with Status_Code: 200
11:14:20.704 [main] INFO  apiTest.DDTest - {"sold":9,"The Best Dog of World":1,"string":642,"pending":5,"available":235,"invalid":4}
11:14:20.706 [main] INFO  apiTest.DDTest - Flushing reports
